/home/sdn/Desktop/2/application/nfv/www.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s7-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/www.click:39: While initializing 'fr_int :: FromDevice':
  warning: s7-eth2: no IPv4 address assigned
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ce_3:  107 | 33330000 00fb0e81 633a73e2 86dd6008 c1470035 11fffe80
www_ci_3:  107 | 33330000 00fb82ec 4beb8eec 86dd600e 3a4c0035 11fffe80
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
www_ce_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
