/home/sdn/Desktop/2/application/nfv/dns.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s4-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/dns.click:39: While initializing 'fr_int :: FromDevice':
  warning: s4-eth2: no IPv4 address assigned
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ci_3:  107 | 33330000 00fb62dd b6dbbc01 86dd6001 ab4e0035 11fffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ce_3:   70 | 33330000 00020000 00000006 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000008 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000003 86dd6000 00000010 3afffe80
